FileName,CompressedSize,CompressedSizeStatic,TheoreticalSize
1000,518,478,472
2000,1016,956,945
3000,1514,1434,1417
4000,2012,1911,1889
5000,2510,2389,2361
6000,3007,2867,2833
7000,3505,3344,3304
8000,4002,3822,3777
9000,4501,4300,4250
10000,4998,4777,4722
11000,5496,5255,5194
12000,5994,5733,5666
13000,6492,6210,6138
14000,6989,6688,6609
15000,7487,7165,7082
16000,7985,7643,7554
17000,8483,8121,8027
18000,8981,8599,8499
19000,9478,9076,8971
20000,9976,9554,9443
21000,10474,10032,9914
22000,10971,10509,10387
23000,11469,10987,10859
24000,11967,11465,11331
25000,12465,11943,11804
26000,12963,12420,12276
27000,13460,12898,12748
28000,13958,13375,13219
29000,14456,13853,13692
30000,14954,14331,14164
31000,15451,14809,14636
32000,15949,15286,15108
33000,16447,15764,15580
34000,16945,16242,16052
35000,17442,16719,16524
36000,17940,17197,16996
37000,18438,17675,17469
38000,18936,18152,17941
39000,19434,18630,18413
40000,19931,19108,18885
41000,20429,19585,19357
42000,20927,20063,19829
43000,21424,20540,20301
44000,21922,21018,20774
45000,22420,21496,21246
46000,22918,21974,21718
47000,23416,22451,22190
48000,23913,22929,22662
49000,24411,23407,23133
50000,24909,23884,23606
51000,25407,24362,24079
52000,25905,24840,24551
53000,26402,25318,25023
54000,26900,25795,25495
55000,27398,26273,25967
56000,27896,26750,26438
57000,28393,27228,26911
58000,28891,27706,27383
59000,29389,28184,27856
60000,29887,28661,28328
61000,30385,29139,28800
62000,30882,29617,29272
63000,31380,30094,29743
64000,31877,30572,30216
65000,32376,31050,30688
66000,32873,31527,31160
67000,33371,32005,31633
68000,33869,32483,32105
69000,34367,32960,32577
70000,34864,33438,33048
71000,35362,33915,33521
72000,35860,34393,33993
73000,36358,34871,34465
74000,36856,35349,34937
75000,37353,35826,35409
76000,37851,36304,35881
77000,38349,36782,36353
78000,38846,37259,36825
79000,39344,37737,37298
80000,39842,38215,37770
81000,40340,38693,38242
82000,40838,39170,38714
83000,41335,39648,39186
84000,41833,40125,39658
85000,42331,40603,40130
86000,42829,41081,40603
87000,43326,41559,41075
88000,43824,42036,41547
89000,44322,42514,42019
90000,44820,42992,42491
91000,45317,43469,42962
92000,45815,43947,43435
93000,46313,44425,43908
94000,46811,44902,44380
95000,47309,45380,44852
96000,47806,45858,45324
97000,48304,46335,45796
98000,48802,46813,46267
99000,49299,47290,46740
100000,49797,47768,47212
